 X (m/s2), Theta (deg)
6.220136,94.36425
6.722919,95.005112
6.554127,92.880478
6.044162,91.971069
5.604826,92.59182
5.255273,93.357262
4.921282,95.040459
4.745308,96.888466
4.568137,97.284531
4.99191,97.863426
5.32231,95.818718
5.693412,93.639328
6.066907,92.817497
6.137536,93.052841
6.0286,93.110527
5.78918,94.948105
5.509058,98.338966
5.337873,101.27356
5.343858,103.995041
5.424064,105.774948
5.503073,105.031975
5.655105,102.529778
5.877765,99.658257
6.09444,96.994545
6.275203,93.682617
6.426037,93.653809
6.56131,93.421158
6.624756,93.857819
6.447585,94.99968
6.253655,95.565468
5.922058,96.299515
5.477933,97.389175
5.153519,98.548203
5.056554,99.17318
5.154716,98.977592
5.418078,98.550323
5.639542,98.207947
5.617994,98.098145
5.443218,99.043404
5.32231,99.584938
5.23971,100.048325
5.212177,100.647408
5.185841,101.022461
5.262455,101.181488
5.388151,101.28553
5.720945,100.866699
6.030994,100.256882
6.246472,99.921036
6.349423,99.210289
6.325481,98.143845
6.204574,97.865486
6.054936,98.307343
5.957971,98.945793
5.838261,99.107483
5.770026,100.070587
5.719748,100.603508
5.590461,101.422714
5.392939,101.893829
5.183447,98.410599
4.893748,100.185608
4.979939,105.369354
4.630386,106.916687
4.81474,105.36496
4.978743,102.274506
5.116409,99.316017
5.410896,97.365486
5.796362,94.6213
6.21415,91.63607
6.43322,89.474319
6.372168,88.765839
5.85502,89.335625
5.355829,91.269913
4.69503,94.759911
4.078523,98.627731
4.067749,100.278999
3.722984,104.238251
3.664326,106.22834
4.131195,105.163277
4.325125,102.998093
4.133589,102.198784
4.189853,99.660057
5.403713,103.953453
5.571307,100.546844
5.337873,98.070839
5.079299,97.246025
5.001487,96.858238
5.057751,96.948563
5.164293,96.99144
5.286397,96.865631
5.390545,96.743965
5.438429,96.650375
5.398925,96.708748
5.324705,96.84993
5.29358,97.147614
5.334281,97.733643
5.419276,98.25441
5.473145,99.053093
5.368997,99.066948
5.200206,98.865799
5.00867,98.714615
4.879383,98.842682
4.790798,99.329185
4.776433,99.685883
4.830302,99.920784
4.916493,99.782097
5.002685,99.458015
5.079299,99.016792
5.12838,98.511658
5.134366,98.025101
5.118803,97.728554
5.05416,97.655975
5.011064,97.70842
4.972757,97.831017
4.948815,98.034851
4.936844,98.203392
4.957195,98.227524
4.955997,98.028099
4.96318,97.778572
4.959589,97.667511
4.961983,97.798203
4.966772,97.949387
4.969166,98.219894
4.988319,98.544792
5.011064,98.708931
5.023035,98.634995
5.025429,98.530098
5.048174,98.341896
5.080496,98.283577
5.098453,98.399834
5.117606,98.620491
5.121197,98.80806
5.098453,98.971878
5.069722,98.953613
5.073313,98.881142
5.086482,98.702736
5.133168,98.506737
5.185841,98.611946
5.209783,98.736122
5.193024,98.886414
5.149928,98.848175
5.098453,98.649391
5.098453,98.649391
5.104438,98.503273
5.12838,98.505966
5.158308,98.640373
5.170279,98.62339
5.221754,98.699852
5.195418,98.838974
5.148731,98.971931
5.072116,99.00737
5.002685,99.025261
4.967968,99.178383
4.983531,99.232956
5.019444,99.195946
5.084087,99.185432
5.114015,99.093292
5.099649,98.859451
5.079299,98.721252
5.105635,98.628777
5.122395,98.592628
5.121197,98.467041
5.123591,98.479713
5.106832,98.571518
5.070919,98.776421
5.021838,98.839592
4.984728,99.008461
4.951209,99.146233
4.922479,99.097481
4.935647,99.060791
4.984728,98.907455
5.012261,98.830284
5.033809,98.626976
4.997896,98.290337
4.973954,98.057854
4.93445,97.892731
4.905719,98.093369
4.922479,98.459808
4.972757,98.690918
5.00029,98.78141
4.989516,98.713509
4.935647,98.510757
4.891354,98.295029
4.849455,98.283478
4.857835,98.51413
4.900931,98.889893
4.96318,99.077942
5.00867,99.102303
5.04578,98.826225
5.073313,98.431442
5.100847,98.062149
5.098453,97.757393
5.124789,97.641022
5.125986,97.684387
5.085284,97.695168
5.046977,97.764122
5.018247,97.948631
4.979939,98.02356
4.966772,98.204735
4.959589,98.302345
4.977545,98.345337
5.001487,98.335213
5.023035,98.183868
5.04578,98.068329
5.06254,97.996277
5.048174,98.125237
5.025429,98.252625
5.002685,98.222778
4.982334,98.272896
4.977545,98.291344
4.995502,98.350746
5.013458,98.203819
5.021838,98.136894
5.035006,97.928307
5.029021,97.993423
5.014656,97.831314
5.019444,97.867149
5.036203,97.874062
5.042189,98.078461
5.042189,98.099289
5.043386,98.150414
5.0374,98.139626
5.051765,98.049255
5.092467,98.065041
5.110424,97.954063
5.123591,97.935822
5.12838,97.858574
5.12838,97.811386
5.143942,97.662796
5.159505,97.584412
5.163096,97.630722
5.172673,97.640144
5.176264,97.534279
5.181053,97.293785
5.197812,97.056641
5.213374,96.828537
5.224148,96.815773
5.222951,96.763382
5.204995,96.809593
5.197812,96.718124
5.201403,96.537712
5.218163,96.308632
5.274426,96.042038
5.274426,96.24852
5.329493,96.45755
5.352238,96.545258
5.355829,96.510292
5.392939,96.348969
5.430049,96.15612
5.439626,96.315788
5.437232,96.403313
5.337873,95.435783
5.353435,94.727592
5.534197,94.942001
5.697003,95.13842
5.726931,94.604034
5.750873,94.376389
5.760449,94.14624
5.767632,93.780602
5.748478,93.261314
5.643134,92.765137
5.737704,92.719612
5.902905,93.312828
6.005855,92.941414
5.914876,92.785347
5.93762,93.726501
6.014235,94.940712
6.041768,95.099579
6.058527,94.207123
6.016629,93.07476
6.008249,92.730759
5.985504,94.945091
6.0286,93.273445
6.019023,94.982323
5.85502,95.652824
5.556942,95.401398
5.63236,95.856102
5.78918,95.79985
5.980716,95.722847
5.849035,95.014206
5.579687,94.43663
5.799953,94.829323
6.054936,95.055405
6.189012,94.730309
6.171055,94.866852
6.1112,94.703964
6.224925,94.178246
